,Company_Name,Rating,Reviews,Company_Type,Location_Info
8577,Smile Electronics,3.6,(125),Electronics Manufacturing,Bangalore / Bengaluru +4 other locations
8578,Vishnu Solutions,3.7,(125),BPO,Kolkata +1 other locations
8579,RFCL,3.6,(125),Agro Chemicals,Ramagundam +7 other locations
8580,Lineomatic Industries Pvt. Ltd.,3.7,(125),Pulp & Paper,Ahmedabad +4 other locations
8581,Multitex Filtration Engineers,3.5,(124),Industrial Machinery,New Delhi +3 other locations
8582,Shalimar Group,4.1,(125),Building Material,Lucknow +32 other locations
8583,Rashi Peripherals,3.7,(125),IT Services & Consulting,Mumbai +31 other locations
8584,Bizbox Publishing,2.9,(125),IT Services & Consulting,New Delhi +7 other locations
8585,Marino Food Products,4.0,(126),Food Processing,Hyderabad / Secunderabad +38 other locations
8586,Jupiter Money,2.6,(125),FinTech,Bangalore / Bengaluru +6 other locations
8587,Commerce Pundit,4.1,(125),IT Services & Consulting,Ahmedabad +7 other locations
8588,Bar Code India,3.5,(125),Industrial Automation,Gurgaon / Gurugram +12 other locations
8589,Uttam Sugar Mills,3.9,(121),Food Processing,Roorkee +21 other locations
8590,Wicked Ride Adventures,4.1,(125),Internet,Bangalore / Bengaluru +8 other locations
8591,Skillventory,3.9,(125),,
8592,Techila Global Services,3.9,(125),IT Services & Consulting,Pune +6 other locations
8593,TechNova Imaging Systems,4.1,(125),Printing & Publishing,Mumbai +17 other locations
8594,Gates Unitta India Company,3.9,(123),Auto Components,Chennai +13 other locations
8595,Government Polytechnic Nagpur,3.9,(125),Education & Training,Pune +59 other locations
8596,Tilaknagar Industries Ltd.,4.1,(125),Beverage,Mumbai +24 other locations
8597,Jain Housing & Constructions,4.2,(122),Real Estate,Chennai +4 other locations
8598,Coupa Software Inc,3.3,(125),IT Services & Consulting,Pune +3 other locations
8599,Facile Services,3.0,(125),IT Services & Consulting,Pune +1 other locations
8600,Sinclus Engineering Consulting,4.2,(126),IT Services & Consulting,Mumbai +43 other locations
8601,P&R Infraprojects,3.8,(125),Engineering & Construction,Chandigarh +19 other locations
8602,Cxc Infotech,3.2,(125),Financial Services,Noida +3 other locations
8603,Cerence,3.1,(125),Software Product,Pune
8604,Bansal Wire Industries,3.6,(124),Iron & Steel,Ghaziabad +9 other locations
8605,Dsm Shared Services India,4.0,(125),Chemicals,Hyderabad / Secunderabad +1 other locations
8606,Aapna Infotech,4.4,(125),IT Services & Consulting,New Delhi +3 other locations
8607,Signals & Systems (India) Private Limited,3.8,(125),Electronics Manufacturing,Chennai +23 other locations
8608,Bansal Group,3.5,(125),Education & Training,Bhopal +24 other locations
8609,Clinic Dermatech,3.1,(125),Beauty & Personal Care,New Delhi +14 other locations
8610,Dulux,4.1,(125),Building Material,Mumbai +64 other locations
8611,ISKCON,3.7,(128),Non-Profit,Bangalore / Bengaluru +26 other locations
8612,Indian Institute of Science Education and Research,3.7,(125),Analytics & KPO,Pune +15 other locations
8613,Amplifon,4.0,(125),Medical Equipment,Gurgaon / Gurugram +31 other locations
8614,Emonics,3.5,(124),IT Services & Consulting,Noida +8 other locations
8615,Rama group,3.7,(125),Real Estate,Pune +19 other locations
8616,GetMyUni,3.4,(125),Education & Training,Bangalore / Bengaluru +9 other locations
8617,Ruban Memorial Hospital,3.9,(125),Healthcare,Patna +2 other locations
8618,Dembla Valves,3.8,(126),Industrial Machinery,Mumbai +12 other locations
8619,ESRI India Technologies,4.0,(125),IT Services & Consulting,Noida +12 other locations
8620,Paramount Products,4.2,(125),Import & Export,New Delhi +5 other locations
8621,20 Microns,4.1,(125),Chemicals,Vadodara +13 other locations
8622,Inadev,3.1,(125),IT Services & Consulting,Kolkata +7 other locations
8623,OCS Services,4.4,(125),Oil & Gas,Mumbai +26 other locations
8624,Mochiko Shoes,3.6,(125),Fashion & Textile,Dehradun +8 other locations
8625,AL JABER GROUP,3.2,(125),Engineering & Construction,Abu Dhabi +13 other locations
8626,Mantle Solutions,3.2,(125),,
8627,Argl,4.1,(125),,
8628,Zopsmart Technology,3.2,(125),Software Product,Bangalore / Bengaluru +8 other locations
8629,Aditya Vision,3.9,(126),Retail,Patna +36 other locations
8630,Dr. Rela Institute & Medical Centre,4.2,(125),Healthcare,Chennai +3 other locations
8631,InnoEye Technologies,3.1,(124),IT Services & Consulting,Indore
8632,Alstrong Enterprises,4.2,(123),Building Material,New Delhi +27 other locations
8633,INTERPLEX,4.3,(121),,
8634,Suzlon Gujarat Wind Park,4.6,(124),Power,Bhuj +23 other locations
8635,Great Champ Technology Limited,2.9,(124),EdTech,Noida +3 other locations
8636,Mahindra Agri Solutions,3.9,(123),Agriculture,Mumbai +34 other locations
8637,Paytm Mall,3.6,(124),Internet,Noida +24 other locations
8638,cloudEQ,3.4,(124),IT Services & Consulting,Chandigarh +6 other locations
8639,Oriental Consultants India Pvt Ltd,4.0,(124),Engineering & Construction,New Delhi +18 other locations
8640,INFAC,3.7,(124),Auto Components,Chennai +7 other locations
8641,Nethues Technologies,3.3,(124),IT Services & Consulting,New Delhi +4 other locations
8642,Saurer,3.6,(124),Financial Services,Vadodara +10 other locations
8643,Elancer It Solutions,3.4,(124),IT Services & Consulting,Hyderabad / Secunderabad
8644,Integrated Cleanroom Technologies,4.0,(124),Facility Management Services,Hyderabad / Secunderabad +8 other locations
8645,Golden Tulip Hotels,3.4,(124),Hospitality,New Delhi +28 other locations
8646,MK TRON Autoparts,3.4,(124),Auto Components,Chennai +5 other locations
8647,Volansys Technologies,3.1,(123),IT Services & Consulting,Ahmedabad +4 other locations
8648,Schiller Healthcare India,3.8,(124),Medical Equipment,Mumbai +20 other locations
8649,KW Group,4.0,(124),Non-Profit,Ghaziabad +6 other locations
8650,Central ParK,4.0,(124),Real Estate,Gurgaon / Gurugram +7 other locations
8651,Zieta Technologies,3.4,(124),IT Services & Consulting,Bangalore / Bengaluru +8 other locations
8652,Cartrade.com,3.8,(123),Internet,Mumbai +20 other locations
8653,Lectrix Ev,3.7,(124),,
8654,Eaton Industrial Systems,4.5,(124),Industrial Machinery,Pune +11 other locations
8655,Holcim Global Hub Business Services,4.1,(124),IT Services & Consulting,Navi Mumbai +4 other locations
8656,GLOBALFOUNDRIES,3.4,(124),Semiconductors,Bangalore / Bengaluru +6 other locations
8657,Computer Junction,3.8,(123),IT Services & Consulting,New Delhi +10 other locations
8658,C2L BIZ,3.3,(124),Internet,Mumbai +4 other locations
8659,Tumbledry Solutions,3.8,(124),Other,Noida +24 other locations
8660,Coloplast,3.2,(124),Healthcare,New Delhi +25 other locations
8661,D2K Technologies India,2.4,(124),IT Services & Consulting,Mumbai +7 other locations
8662,eNTrust Software & Services,3.5,(124),Software Product,Chennai +3 other locations
8663,Xerago,3.1,(124),Marketing & Advertising,Chennai +3 other locations
8664,PPS International,3.7,(124),Industrial Machinery,Greater Noida +10 other locations
8665,Aravind Eye Hospital,4.1,(124),Healthcare,Madurai +19 other locations
8666,Believe Cosmetics,3.2,(124),,
8667,Amol Pharmaceuticals,3.9,(124),Pharma,Jaipur +4 other locations
8668,MAJID AL FUTTAIM RETAIL,3.5,(124),Retail,Gurgaon / Gurugram +13 other locations
8669,ARTEMIS HEALTH CARE,4.3,(124),,
8670,SVP Hospital,4.0,(124),Government,Ahmedabad +13 other locations
8671,AlgoLeap Technologies,4.3,(124),Emerging Technologies,Hyderabad / Secunderabad +6 other locations
